  67  0.100800000000E+02  0.992063492063E-01           -Infinity           -Infinity           -Infinity
  68  0.103200000000E+02  0.968992248062E-01           -Infinity           -Infinity           -Infinity
  69  0.105600000000E+02  0.946969696970E-01           -Infinity           -Infinity           -Infinity
  70  0.108000000000E+02  0.925925925926E-01           -Infinity           -Infinity           -Infinity
  71  0.110400000000E+02  0.905797101449E-01           -Infinity           -Infinity           -Infinity
  72  0.112800000000E+02  0.886524822695E-01           -Infinity           -Infinity           -Infinity
  73  0.115200000000E+02  0.868055555556E-01           -Infinity           -Infinity           -Infinity
  74  0.117600000000E+02  0.850340136054E-01           -Infinity           -Infinity           -Infinity
  75  0.120000000000E+02  0.833333333333E-01           -Infinity           -Infinity           -Infinity
  76  0.122400000000E+02  0.816993464052E-01           -Infinity           -Infinity           -Infinity
  77  0.124800000000E+02  0.801282051282E-01           -Infinity           -Infinity           -Infinity
  78  0.127200000000E+02  0.786163522013E-01           -Infinity           -Infinity           -Infinity
  79  0.129600000000E+02  0.771604938272E-01           -Infinity           -Infinity           -Infinity
  80  0.132000000000E+02  0.757575757576E-01           -Infinity           -Infinity           -Infinity
  81  0.134400000000E+02  0.744047619048E-01           -Infinity           -Infinity           -Infinity
  82  0.136800000000E+02  0.730994152047E-01           -Infinity           -Infinity           -Infinity
  83  0.139200000000E+02  0.718390804598E-01           -Infinity           -Infinity           -Infinity
  84  0.141600000000E+02  0.706214689266E-01           -Infinity           -Infinity           -Infinity
  85  0.144000000000E+02  0.694444444444E-01           -Infinity           -Infinity           -Infinity
  86  0.146400000000E+02  0.683060109290E-01           -Infinity           -Infinity           -Infinity
  87  0.148800000000E+02  0.672043010753E-01           -Infinity           -Infinity           -Infinity
  88  0.151200000000E+02  0.661375661376E-01           -Infinity           -Infinity           -Infinity
  89  0.153600000000E+02  0.651041666667E-01           -Infinity           -Infinity           -Infinity
  90  0.156000000000E+02  0.641025641026E-01           -Infinity           -Infinity           -Infinity
  91  0.158400000000E+02  0.631313131313E-01           -Infinity           -Infinity           -Infinity
  92  0.160800000000E+02  0.621890547264E-01           -Infinity           -Infinity           -Infinity
  93  0.163200000000E+02  0.612745098039E-01           -Infinity           -Infinity           -Infinity
  94  0.165600000000E+02  0.603864734300E-01           -Infinity           -Infinity           -Infinity
  95  0.168000000000E+02  0.595238095238E-01           -Infinity           -Infinity           -Infinity
  96  0.170400000000E+02  0.586854460094E-01           -Infinity           -Infinity           -Infinity
  97  0.172800000000E+02  0.578703703704E-01           -Infinity           -Infinity           -Infinity
  98  0.175200000000E+02  0.570776255708E-01           -Infinity           -Infinity           -Infinity
  99  0.177600000000E+02  0.563063063063E-01           -Infinity           -Infinity           -Infinity
 100  0.180000000000E+02  0.555555555556E-01           -Infinity           -Infinity           -Infinity
 101  0.182400000000E+02  0.548245614035E-01           -Infinity           -Infinity           -Infinity
 102  0.184800000000E+02  0.541125541126E-01           -Infinity           -Infinity           -Infinity
 103  0.187200000000E+02  0.534188034188E-01           -Infinity           -Infinity           -Infinity
 104  0.189600000000E+02  0.527426160338E-01           -Infinity           -Infinity           -Infinity
 105  0.192000000000E+02  0.520833333333E-01           -Infinity           -Infinity           -Infinity
 106  0.194400000000E+02  0.514403292181E-01           -Infinity           -Infinity           -Infinity
 107  0.196800000000E+02  0.508130081301E-01           -Infinity           -Infinity           -Infinity
 108  0.199200000000E+02  0.502008032129E-01           -Infinity           -Infinity           -Infinity
 109  0.201600000000E+02  0.496031746032E-01           -Infinity           -Infinity           -Infinity
 110  0.204000000000E+02  0.490196078431E-01           -Infinity           -Infinity           -Infinity
 111  0.206400000000E+02  0.484496124031E-01           -Infinity           -Infinity           -Infinity
 112  0.208800000000E+02  0.478927203065E-01           -Infinity           -Infinity           -Infinity
 113  0.211200000000E+02  0.473484848485E-01           -Infinity           -Infinity           -Infinity
 114  0.213600000000E+02  0.468164794007E-01           -Infinity           -Infinity           -Infinity
 115  0.216000000000E+02  0.462962962963E-01           -Infinity           -Infinity           -Infinity
 116  0.218400000000E+02  0.457875457875E-01           -Infinity           -Infinity           -Infinity
 117  0.220800000000E+02  0.452898550725E-01           -Infinity           -Infinity           -Infinity
 118  0.223200000000E+02  0.448028673835E-01           -Infinity           -Infinity           -Infinity
 119  0.225600000000E+02  0.443262411348E-01           -Infinity           -Infinity           -Infinity
 120  0.228000000000E+02  0.438596491228E-01           -Infinity           -Infinity           -Infinity
 121  0.230400000000E+02  0.434027777778E-01           -Infinity           -Infinity           -Infinity
 122  0.232800000000E+02  0.429553264605E-01           -Infinity           -Infinity           -Infinity
 123  0.235200000000E+02  0.425170068027E-01           -Infinity           -Infinity           -Infinity
 124  0.237600000000E+02  0.420875420875E-01           -Infinity           -Infinity           -Infinity
 125  0.240000000000E+02  0.416666666667E-01           -Infinity           -Infinity           -Infinity
 126  0.242400000000E+02  0.412541254125E-01           -Infinity           -Infinity           -Infinity
 127  0.244800000000E+02  0.408496732026E-01           -Infinity           -Infinity           -Infinity
 128  0.247200000000E+02  0.404530744337E-01           -Infinity           -Infinity           -Infinity
 129  0.249600000000E+02  0.400641025641E-01           -Infinity           -Infinity           -Infinity
 130  0.252000000000E+02  0.396825396825E-01           -Infinity           -Infinity           -Infinity
 131  0.254400000000E+02  0.393081761006E-01           -Infinity           -Infinity           -Infinity
 132  0.256800000000E+02  0.389408099688E-01           -Infinity           -Infinity           -Infinity
 133  0.259200000000E+02  0.385802469136E-01           -Infinity           -Infinity           -Infinity
 134  0.261600000000E+02  0.382262996942E-01           -Infinity           -Infinity           -Infinity
 135  0.264000000000E+02  0.378787878788E-01           -Infinity           -Infinity           -Infinity
 136  0.266400000000E+02  0.375375375375E-01           -Infinity           -Infinity           -Infinity
 137  0.268800000000E+02  0.372023809524E-01           -Infinity           -Infinity           -Infinity
 138  0.271200000000E+02  0.368731563422E-01           -Infinity           -Infinity           -Infinity
 139  0.273600000000E+02  0.365497076023E-01           -Infinity           -Infinity           -Infinity
 140  0.276000000000E+02  0.362318840580E-01           -Infinity           -Infinity           -Infinity
 141  0.278400000000E+02  0.359195402299E-01           -Infinity           -Infinity           -Infinity
